countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,SpeciesTotal
840,83,TEXAS,140,DRIPPING SPG,30.2495701,-98.0582098,2016,2890,4
840,2,ALABAMA,141,ALABAMA PT 2,30.2816323,-87.5183917,2016,2890,2
840,83,TEXAS,141,MANOR,30.341063,-97.557639,2016,2890,5
840,52,MISSOURI,142,LURAY,40.583201,-91.823103,2016,2890,19
840,52,MISSOURI,143,WESTON,39.439109,-94.944187,2016,2890,10
840,52,MISSOURI,144,DOVER,39.0295357,-75.4593569,2016,2890,20
840,52,MISSOURI,145,WOODLANDVILLE,39.026638,-92.547115,2016,2890,9
840,52,MISSOURI,147,AUBURN,38.8992737,-121.0703359,2016,2890,20
840,52,MISSOURI,150,EUGENE,38.322228,-92.36526,2016,2890,10
840,25,FLORIDA,151,Laurel Hill,30.965694,-86.455486,2016,2890,14
840,52,MISSOURI,151,GERALD,38.454195,-91.253776,2016,2890,4
840,52,MISSOURI,153,MILFORD,40.6463646,-87.724604,2016,2890,25
840,52,MISSOURI,154,MILLER,37.396993,-93.726898,2016,2890,8
840,27,GEORGIA,155,COFFEE CO,31.4577244,-82.8023609,2016,2890,11
840,52,MISSOURI,155,RICHLAND,37.937149,-92.441823,2016,2890,15
840,2,ALABAMA,156,KYMULGA,33.2905307,-86.3312989,2016,2890,4
840,27,GEORGIA,156,RICEBORO,31.6168883,-81.6271416,2016,2890,3
840,52,MISSOURI,157,DOE RUN,37.671966,-90.558115,2016,2890,10
840,52,MISSOURI,158,BLODGETT,37.039352,-89.528728,2016,2890,16
840,25,FLORIDA,159,Hildreth 2,30.018918,-82.810872,2016,2890,8
840,2,ALABAMA,162,Borden Springs 2,33.9413322,-85.450491,2016,2890,6
840,52,MISSOURI,162,WEST PLAINS,36.56879,-91.824506,2016,2890,22
840,52,MISSOURI,164,HAYTI,36.125139,-89.663654,2016,2890,2
840,66,OHIO,165,PORT WILLIAM,39.5569036,-83.8484908,2016,2890,3
840,25,FLORIDA,170,Pleasant Grove 2,27.769929,-82.334936,2016,2890,1
840,25,FLORIDA,172,CREWSVILLE,27.4972377,-81.6004029,2016,2890,9
840,83,TEXAS,179,HASKELL,33.3645608,-99.6563415,2016,2890,69
840,72,PENNSYLVANIA,189,MILL RUN,39.9853173,-79.4174638,2016,2890,1
840,2,ALABAMA,201,VINA,34.2884067,-88.0675579,2016,2890,5
840,63,NORTH CAROLINA,202,NEWPORT,34.9312881,-76.8406017,2016,2890,2
840,63,NORTH CAROLINA,203,CYPRESS CR,34.7739701,-77.6299645,2016,2890,9
840,54,NEBRASKA,203,LIBERTY 3,40.088258,-96.388121,2016,2890,54
840,2,ALABAMA,204,STEVENSON,34.7575557,-85.8594579,2016,2890,2
840,63,NORTH CAROLINA,204,MAPLE HILL,34.5909333,-77.7928721,2016,2890,6
840,63,NORTH CAROLINA,205,MONTAGUE,34.4014777,-78.0548779,2016,2890,7
840,2,ALABAMA,208,TALLADEGA,33.3180161,-86.1573541,2016,2890,3
840,63,NORTH CAROLINA,208,MATTAMUSKEET,35.4900673,-76.543981,2016,2890,4
840,2,ALABAMA,209,WEDOWEE,33.1844368,-85.464604,2016,2890,7
840,83,TEXAS,209,ENCINAL 2,27.9766671,-99.266437,2016,2890,32
840,63,NORTH CAROLINA,210,PINETOPS,35.8648907,-77.7211309,2016,2890,4
840,2,ALABAMA,212,SEALE,32.5033347,-85.2532189,2016,2890,1
840,2,ALABAMA,213,CITRONELLE,31.1365731,-88.2207774,2016,2890,6
840,63,NORTH CAROLINA,213,GENOA,35.3169181,-78.0169365,2016,2890,2
840,2,ALABAMA,215,HELICON,31.9052647,-86.1853409,2016,2890,3
840,2,ALABAMA,216,EUFAULA,31.7296264,-85.2558091,2016,2890,17
