LATITUDE,LONGITUDE,AOU,SPECIESTOTAL
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.464,-103.478,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
34.202,-102.236,3650,1
