@relation Data_Picidae_2010_clustering

@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute AOU numeric
@attribute SPECIESTOTAL numeric

@data
54.75,-118.226,4120,10
54.133,-116.216,3920,1
54.133,-116.216,4010,2
54.133,-116.216,4020,4
54.133,-116.216,4120,4
55.486,-113.44,3930,3
55.486,-113.44,4020,1
54.766,-117.248,4020,13
56.276,-117.821,3930,3
56.276,-117.821,4020,10
56.276,-117.821,4120,3
59.862,-111.615,3920,10
59.862,-111.615,4020,2
59.862,-111.615,4120,1
56.363,-117.003,3930,3
59.989,-111.838,3920,13
59.989,-111.838,4050,1
59.989,-111.838,4120,3
55.142,-119.218,3930,1
55.142,-119.218,4020,1
55.142,-119.218,4120,4
49.02,-114.045,4130,1
50.303,-112.02,4123,1
55.499,-114.914,3930,1
55.499,-114.914,4010,1
55.499,-114.914,4020,19
55.499,-114.914,4050,2
55.499,-114.914,4120,4
52.638,-111.996,4120,3
51.548,-114.213,4123,2
51.561,-113.896,4120,1
51.662,-115.407,3920,1
51.662,-115.407,4010,2
51.662,-115.407,4020,5
51.662,-115.407,4123,4
51.576,-111.201,4120,3
53.12,-113.123,4120,1
53.105,-112.148,4120,1
53.103,-111.76,3930,1
53.103,-111.76,4020,2
53.103,-111.76,4120,3
52.488,-117.518,4123,2
52.611,-113.987,4020,6
52.611,-113.987,4120,1
55.083,-117.357,4020,6
55.083,-117.357,4050,1
55.083,-117.357,4120,4
54.742,-115.783,4123,1
54.181,-110.305,4020,2
54.181,-110.305,4120,4
54.363,-117.037,3920,2
54.363,-117.037,4020,8
54.363,-117.037,4120,1
54.051,-113.916,4120,13
53.774,-115.612,3930,1
53.774,-115.612,4020,7
53.774,-115.612,4050,1
54.434,-112.829,4020,1
54.434,-112.829,4050,2
54.434,-112.829,4120,1
49.262,-113.657,4123,2
49.636,-114.49,4130,1
50.514,-114.247,3940,1
51.21,-114.763,4130,4
52.522,-112.86,3920,2
52.522,-112.86,4120,1
51.415,-113.732,4130,1
52.551,-113.94,3930,2
52.551,-113.94,4123,1
53.776,-111.243,4020,2
53.776,-111.243,4120,3
53.338,-113.853,3930,2
53.338,-113.853,3940,1
53.338,-113.853,4020,3
53.338,-113.853,4120,5
54.036,-113.321,3930,1
54.036,-113.321,4020,3
54.036,-113.321,4120,1
54.999,-115.26,4020,8
54.999,-115.26,4120,4
53.483,-114.788,3940,1
53.483,-114.788,4020,2
53.483,-114.788,4120,3
51.329,-114.26,4021,1
51.329,-114.26,4120,2
53.628,-114.399,3930,2
53.628,-114.399,3940,5
53.628,-114.399,4020,3
53.628,-114.399,4050,3
52.406,-114.41,3940,2
52.406,-114.41,4020,7
52.406,-114.41,4130,1
53.134,-113.196,3930,1
53.134,-113.196,4120,3
49.876,-114.079,4021,2
49.876,-114.079,4120,3
53.991,-110.946,4120,3
53.614,-115.451,3930,1
53.614,-115.451,3940,1
53.614,-115.451,4020,3
53.614,-115.451,4050,1
53.614,-115.451,4120,1
54.673,-112.375,3940,2
50.921,-112.174,3940,1
54.918,-112.018,3930,2
54.918,-112.018,4020,5
54.918,-112.018,4120,4
52.201,-113.219,3930,2
52.201,-113.219,4020,1
52.201,-113.219,4120,2
53.716,-112.815,3940,1
53.716,-112.815,4020,4
53.716,-112.815,4050,1
53.716,-112.815,4120,4
35.679,-109.205,3930,3
35.679,-109.205,4080,1
35.679,-109.205,4130,4
