countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,83,TEXAS,3,AGUA NUEVA,26.9019917,-98.6026759,2010,7430,Aegithalidae,3
840,83,TEXAS,28,BOERNE,29.8739777,-98.6494589,2010,7430,Aegithalidae,3
840,83,TEXAS,54,PEAR VALLEY,31.2869724,-99.5652708,2010,7430,Aegithalidae,9
840,83,TEXAS,87,LONGFELLOW,30.1465918,-102.4086864,2010,7430,Aegithalidae,2
840,83,TEXAS,326,ALLEN CREEK,30.3038597,-99.7103499,2010,7430,Aegithalidae,2
840,83,TEXAS,354,SILVER,32.0702794,-100.6472268,2010,7430,Aegithalidae,1
840,85,UTAH,169,SHIVWITZ,37.0690767,-113.7700499,2010,7430,Aegithalidae,12
840,85,UTAH,320,ALTON,37.3250947,-112.4560459,2010,7430,Aegithalidae,3
840,85,UTAH,368,La Sal 3,38.447119,-109.38558,2010,7430,Aegithalidae,6
840,89,WASHINGTON,2,PORT ANGELES,48.1127527,-123.3860549,2010,7430,Aegithalidae,2
840,89,WASHINGTON,17,BUNKER HILL,46.2603987,-123.1780619,2010,7430,Aegithalidae,5
840,89,WASHINGTON,41,SOUTH ELMA,46.9561757,-123.4427949,2010,7430,Aegithalidae,1
840,89,WASHINGTON,72,MUKILTEO,47.9220717,-122.3002169,2010,7430,Aegithalidae,2
840,89,WASHINGTON,111,CARNATION,47.7443857,-121.9848029,2010,7430,Aegithalidae,3
840,89,WASHINGTON,242,MENDOTA 3,46.726114,-122.86911,2010,7430,Aegithalidae,6
