countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,60,NEW MEXICO,78,PINON,38.2657408,-108.3489798,2016,7430,Aegithalidae,9
840,60,NEW MEXICO,79,QUEEN,32.245658,-104.6971728,2016,7430,Aegithalidae,4
840,60,NEW MEXICO,111,SABINOSO,35.6552916,-104.3751645,2016,7430,Aegithalidae,1
840,60,NEW MEXICO,301,LA PLATA 2,36.8338846,-108.010155,2016,7430,Aegithalidae,2
840,69,OREGON,2,TUALATIN,45.3836599,-122.7875574,2016,7430,Aegithalidae,7
840,69,OREGON,11,DESCHUTES,44.1598087,-121.2737049,2016,7430,Aegithalidae,4
840,69,OREGON,18,UMPQUA,43.3663377,-123.5037309,2016,7430,Aegithalidae,2
840,69,OREGON,202,CANBY,45.2946161,-122.7018488,2016,7430,Aegithalidae,2
840,83,TEXAS,87,LONGFELLOW,30.1465918,-102.4086864,2016,7430,Aegithalidae,2
840,83,TEXAS,114,INDIAN MTN,29.6237867,-100.4213549,2016,7430,Aegithalidae,4
840,83,TEXAS,326,ALLEN CREEK,30.3038597,-99.7103499,2016,7430,Aegithalidae,1
840,83,TEXAS,327,ROCKSPRING,30.0156927,-100.2140109,2016,7430,Aegithalidae,1
840,83,TEXAS,329,FT. STOCKTON,30.5964387,-102.6068259,2016,7430,Aegithalidae,5
840,85,UTAH,173,HATCH,37.3927137,-109.2255249,2016,7430,Aegithalidae,3
840,85,UTAH,319,NEWCASTLE,43.9954934,-69.5672329,2016,7430,Aegithalidae,1
840,85,UTAH,368,La Sal 3,38.447119,-109.38558,2016,7430,Aegithalidae,4
840,89,WASHINGTON,2,PORT ANGELES,48.1127527,-123.3860549,2016,7430,Aegithalidae,5
840,89,WASHINGTON,34,EVERETT,47.9781527,-122.1737439,2016,7430,Aegithalidae,2
840,89,WASHINGTON,40,ILWACO,46.2694477,-124.0782779,2016,7430,Aegithalidae,1
840,89,WASHINGTON,66,BAY VIEW,48.5374977,-122.4719929,2016,7430,Aegithalidae,1
840,89,WASHINGTON,72,MUKILTEO,47.9220717,-122.3002169,2016,7430,Aegithalidae,5
840,89,WASHINGTON,78,PE ELL,46.5431147,-123.4697269,2016,7430,Aegithalidae,4
840,89,WASHINGTON,79,RAINIER,46.8066477,-122.4157869,2016,7430,Aegithalidae,6
840,89,WASHINGTON,111,CARNATION,47.7443857,-121.9848029,2016,7430,Aegithalidae,2
840,89,WASHINGTON,242,MENDOTA 3,46.726114,-122.86911,2016,7430,Aegithalidae,10
