countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
124,4,Alberta,309,CLEAR LAKE,50.01932,-113.39054,2016,3131,Columbidae,2
124,4,Alberta,311,CHINOOK,51.44452,-110.91913,2016,3131,Columbidae,5
124,4,Alberta,313,DOROTHY,51.32885,-112.04431,2016,3131,Columbidae,10
124,4,Alberta,314,CARBON,51.35786,-113.16917,2016,3131,Columbidae,26
124,4,Alberta,315,LOCHEND LAKE,51.32922,-114.25969,2016,3131,Columbidae,13
124,4,Alberta,319,FLEET,51.99756,-111.81444,2016,3131,Columbidae,15
124,4,Alberta,321,TEES,52.72674,-113.22096,2016,3131,Columbidae,22
124,4,Alberta,404,TROUT CREEK,49.875772,-114.079114,2016,3131,Columbidae,2
124,4,Alberta,407,Lake Newell,50.56388,-111.84916,2016,3131,Columbidae,1
124,4,Alberta,501,Rolling Hills,50.08913,-111.56814,2016,3131,Columbidae,2
124,4,Alberta,508,BASSANO,50.83397,-112.45127,2016,3131,Columbidae,28
124,4,Alberta,511,Buffalo,50.765188,-110.673829,2016,3131,Columbidae,8
124,4,Alberta,512,Onefour,49.10149,-110.56255,2016,3131,Columbidae,1
124,4,Alberta,608,New Majorville,50.60144,-112.99408,2016,3131,Columbidae,9
840,6,ARIZONA,12,OATMAN,34.9859877,-114.4831159,2016,3131,Columbidae,1
840,6,ARIZONA,20,NEW RIVER,33.7034749,-112.2723363,2016,3131,Columbidae,7
840,6,ARIZONA,74,ARABY,32.8548017,-114.4452209,2016,3131,Columbidae,5
840,6,ARIZONA,108,SELIGMAN,35.2307957,-112.5859679,2016,3131,Columbidae,10
840,6,ARIZONA,127,CACTUS FOREST,32.9583127,-111.3334729,2016,3131,Columbidae,4
840,6,ARIZONA,130,ORGAN PIPE,31.9571917,-112.7999879,2016,3131,Columbidae,8
840,6,ARIZONA,219,HOPE 2,33.9225847,-113.82479,2016,3131,Columbidae,3
840,7,ARKANSAS,5,STAMPS,33.3755757,-93.4706879,2016,3131,Columbidae,2
840,7,ARKANSAS,8,HUGHES,34.9269397,-90.5065699,2016,3131,Columbidae,1
840,7,ARKANSAS,22,COAL HILL,35.4263985,-93.6640897,2016,3131,Columbidae,2
840,7,ARKANSAS,24,MASSARD,35.3514159,-94.3318236,2016,3131,Columbidae,30
840,7,ARKANSAS,35,Dell,35.901224,-90.000225,2016,3131,Columbidae,2
840,7,ARKANSAS,37,Russell,35.373736,-91.658032,2016,3131,Columbidae,3
840,7,ARKANSAS,117,WILSON,35.5182227,-90.2867129,2016,3131,Columbidae,2
124,11,British Columbia,45,WILLIAMS LK,52.14952,-122.06768,2016,3131,Columbidae,2
124,11,British Columbia,71,LAKELSE,54.37166,-128.58215,2016,3131,Columbidae,2
124,11,British Columbia,220,LAVINGTON,50.26615,-119.08702,2016,3131,Columbidae,5
124,11,British Columbia,313,DUCK LAKE,49.78313,-124.17869,2016,3131,Columbidae,11
124,11,British Columbia,401,SALT SPR. IS,48.74932,-123.54811,2016,3131,Columbidae,2
124,11,British Columbia,420,CANOE POINT,50.81583,-119.08629,2016,3131,Columbidae,35
